year,audi,bmw,fiat,ford,nissan,opel,peugeot,renault,skoda,suzuki,toyota,volkswagen,volvo
1995,3711.92,12244.66,1143.92,653.67,700.13,700.13,1999.92,630.33,2567.99,3525.15,4575.7,1750.9,1622.38
1996,3711.92,12244.66,1143.92,696.4508333333333,700.13,700.13,1999.92,630.33,2567.99,3525.15,4575.7,1750.9,1622.38
1997,3532.9388888888893,12244.659999999998,1143.92,739.2316666666666,700.13,700.13,1999.92,630.33,2567.99,3525.15,4575.7,1750.9000000000003,1622.38
1999,3309.2125000000005,12244.66,1143.92,782.0124999999999,700.13,700.13,1999.92,693.0705,2567.99,3525.15,4575.7,1750.9,1622.38
2000,3067.5880000000006,12244.66,1143.92,824.7933333333333,700.13,700.13,1999.92,780.9072,2567.99,3525.15,4427.4565,1750.9,1622.38
2001,3003.7575,12244.660000000002,1143.92,867.5741666666667,700.13,711.1027777777778,1999.92,881.292,2567.99,3525.15,4205.09125,1750.8999999999999,1622.38
2002,3041.5235714285714,12244.660000000002,1143.92,910.3549999999999,746.8371428571428,728.3457142857143,1999.92,988.8471428571429,2567.9900000000002,3585.1814285714286,3940.3707142857143,1750.8999999999999,1622.3799999999999
2003,3212.868125,12244.660000000002,1143.92,990.1135416666666,822.7362499999999,749.5075,1999.92,1100.88375,2514.4904166666665,3582.5316666666668,3649.1781250000004,1812.1816666666666,1594.6725
2004,3239.785,12244.660000000002,1143.92,1094.523888888889,951.8051851851851,948.9677777777779,1999.9199999999998,1200.7766666666666,2425.3244444444445,3538.094444444445,3535.5311111111114,1914.3177777777778,1767.6677777777777
2005,3319.6815,12244.660000000002,1190.611,1216.1905000000002,1118.093,1059.51,1999.9199999999996,1288.473,2311.192,3464.4060000000004,3546.166,2045.0520000000001,1889.7219999999998
2006,3360.634545454546,12244.660000000002,1273.9063636363637,1440.9522727272727,1311.449090909091,1203.719090909091,2044.0463636363636,1277.4545454545455,2305.350681818182,3457.1836363636367,3431.7736363636363,2175.3618181818183,2053.784318181818
2007,3372.3800000000006,12245.6325,1410.9283333333333,1610.7445833333334,1479.7124999999999,1284.92,2121.2675,1575.6533333333334,2380.7277083333333,3624.969166666667,3378.565416666667,2296.5991666666664,2249.3527083333333
2008,3737.9046153846157,11900.674615384614,1534.0538461538463,1885.8919230769231,1628.673846153846,1470.7743589743588,2192.7446153846154,1632.2330769230769,2518.5803846153844,3689.716153846154,3372.421923076923,2441.1613461538464,2469.1565384615383
2009,4060.3660714285716,11852.151428571427,1720.7428571428572,2243.8182142857145,1762.4692857142857,1738.8564285714285,2400.475,1845.2592857142856,2705.5210714285713,3709.627857142858,3778.198928571429,2604.0501785714287,2708.0024999999996
2010,4348.3769999999995,11684.396,1863.8633333333335,2514.7556666666665,2079.1953333333336,2072.7206666666666,2603.5833333333335,2063.0766666666664,2855.1016666666665,3782.143333333334,4240.480333333334,2781.6003333333333,3114.995
2011,4799.705666666667,11572.078666666666,2004.714,2936.529,2622.38,2398.7933333333335,2857.6693333333333,2257.621333333333,3021.632333333333,3922.2160000000003,4447.475666666667,3052.4069999999997,3574.9076666666665
2012,5391.122333333334,11636.663999999999,3204.2783333333336,3271.6675555555553,2929.7686666666673,2819.0260000000003,3226.5266666666666,2570.060333333333,3244.192,4018.710666666667,4982.863,3603.7476666666666,4194.343666666667
2013,6029.229222222222,11856.369999999999,5462.556333333333,3520.1713333333328,3449.2073333333337,3159.8840000000005,3608.2140000000004,3000.393666666666,3522.7806666666665,4295.742666666667,5395.108666666667,3992.0596666666665,4680.706999999999
2014,7012.069666666666,12283.590666666665,6903.745666666667,4057.122999999999,4180.696000000001,3598.2740000000003,4015.718666666667,3477.806866666666,3864.1373333333336,4610.516333333334,5684.212666666667,4578.418333333333,5675.229
2015,8170.7789999999995,12593.606,7527.846333333333,4787.187888888888,4568.245333333334,4080.753333333334,4449.040666666667,3988.2925999999993,4164.515333333334,4963.031666666668,5980.302500000001,5362.823666666666,6880.248999999999
2016,9430.66,13253.238,8066.347,6098.693333333332,5408.695333333334,4406.30488888889,4987.670666666667,4564.783533333332,4598.74,5559.896333333335,6438.257500000001,6368.760166666666,8103.556333333332
2017,11598.166,14453.445666666665,8583.577666666668,7251.971333333333,6895.026666666668,5469.812000000002,5625.324333333334,5292.381666666665,5530.999999999999,5897.6263333333345,7058.077666666667,7596.227833333334,10457.559
2018,13031.573333333334,16194.228999999998,9070.236333333332,8203.95511111111,8017.162,6479.188666666669,6362.001666666667,5990.019666666664,6242.77511111111,6961.922777777779,8376.314333333334,9012.543111111114,12743.851666666666
2019,16193.525333333333,17935.012333333332,9958.758999999998,9130.513333333332,9474.002222222223,7764.119333333336,7098.679000000001,6722.0223333333315,7904.930666666665,7969.551000000001,9166.042666666668,10617.706000000002,15132.848333333332
2020,22724.01066666667,19675.795666666665,10816.154333333334,10031.645999999999,10605.864666666668,9467.088666666668,7835.356333333334,7448.836999999999,9249.180666666663,9002.605000000001,9888.069333333335,11888.630000000001,17610.572999999997
